simulation_time_s,pressure_pa,pressure_kpa,density,phase,cycle,log_line
0.8464430000035026,200001.590444,200.001590444,0.597055,high_pressure,0,25972
1.008194000007244,990.175462,0.9901754620000001,0.598806,low_pressure,1,45969
1.017310000006494,200000.208308,200.000208308,0.618935,high_pressure,1,47831
1.0652820000025476,995.284673,0.995284673,0.600003,low_pressure,2,55443
1.0758610000016773,200000.375996,200.00037599599997,0.619861,high_pressure,2,57656
1.1197779999980644,997.575917,0.997575917,0.600749,low_pressure,3,64760
1.1304149999971893,200000.063354,200.00006335400002,0.620465,high_pressure,3,66980
1.1682519999940766,997.324793,0.997324793,0.601287,low_pressure,4,73175
1.1784069999932412,200000.27785,200.00027785,0.620874,high_pressure,4,75311
1.216649999990095,997.636814,0.9976368139999999,0.601743,low_pressure,5,81619
1.2252839999893848,200000.448791,200.000448791,0.621294,high_pressure,5,83417
1.2622429999863443,997.65649,0.99765649,0.602228,low_pressure,6,89527
1.2720099999855408,200000.331746,200.000331746,0.621707,high_pressure,6,91578
1.309043999982494,997.659545,0.997659545,0.602678,low_pressure,7,97717
1.3190109999816741,200000.306937,200.00030693699998,0.62211,high_pressure,7,99803
1.3538899999788048,998.319209,0.998319209,0.603094,low_pressure,8,105610
1.3624589999780998,200000.01153,200.00001153,0.622448,high_pressure,8,107422
1.3980399999751727,998.664585,0.998664585,0.603443,low_pressure,9,113370
1.4079859999743545,200000.659233,200.00065923300002,0.622755,high_pressure,9,115463
1.4420679999715507,998.733972,0.998733972,0.603758,low_pressure,10,121158
1.4522069999707166,200000.061348,200.00006134799997,0.623016,high_pressure,10,123329
1.4873509999678254,997.715342,0.997715342,0.604052,low_pressure,11,129214
1.4967329999670536,200000.213169,200.000213169,0.623265,high_pressure,11,131209
1.5281079999644724,998.094935,0.998094935,0.604338,low_pressure,12,136481
1.5365879999637748,200000.351722,200.000351722,0.623507,high_pressure,12,138286
1.5698719999610367,998.619936,0.9986199360000001,0.6046,low_pressure,13,143889
1.578241999960348,200000.365761,200.00036576099998,0.62374,high_pressure,13,145680
1.6082249999578815,998.341956,0.998341956,0.604839,low_pressure,14,150789
1.6177909999570945,200000.918392,200.000918392,0.623943,high_pressure,14,152840
1.6499349999544501,997.7993,0.9977993000000001,0.605067,low_pressure,15,158295
1.6604079999535886,200000.651383,200.000651383,0.624156,high_pressure,15,160571
1.6912379999510523,998.461905,0.998461905,0.605279,low_pressure,16,165835
1.6995639999503673,200000.254387,200.00025438699998,0.624382,high_pressure,16,167612
1.732339999947671,998.799113,0.998799113,0.60549,low_pressure,17,173193
1.7428559999468058,200000.304402,200.000304402,0.624575,high_pressure,17,175483
1.7750449999441578,998.535091,0.9985350909999999,0.605709,low_pressure,18,180994
1.7834589999434656,200000.070976,200.000070976,0.624764,high_pressure,18,182778
1.8117079999411416,996.372915,0.996372915,0.605924,low_pressure,19,187620
1.821414999940343,200000.166854,200.000166854,0.624958,high_pressure,19,189727
1.8478009999381724,996.820835,0.996820835,0.606122,low_pressure,20,194301
1.8575379999373713,200000.017046,200.00001704599998,0.625115,high_pressure,20,196415
1.888454999934828,998.678221,0.998678221,0.606321,low_pressure,21,201728
1.8986349999339904,200000.484611,200.000484611,0.625312,high_pressure,21,203948
1.9285259999315314,998.776548,0.998776548,0.606503,low_pressure,22,209099
1.9369599999308376,200000.153392,200.00015339200002,0.62547,high_pressure,22,210911
1.967209999928349,998.776453,0.998776453,0.606671,low_pressure,23,216126
1.9772819999275204,200000.12581,200.00012581,0.625611,high_pressure,23,218332
2.0064369999265512,998.994752,0.998994752,0.606837,low_pressure,24,223371
2.0149369999277393,199999.93818,199.99993818,0.625752,high_pressure,24,225204
2.0473189999322656,998.92385,0.9989238500000001,0.607009,low_pressure,25,230778
2.0571689999336424,200000.51164,200.00051164,0.625901,high_pressure,25,232920
2.089766999938199,999.252053,0.9992520530000001,0.607175,low_pressure,26,238522
2.0979039999393363,200000.185149,200.000185149,0.626031,high_pressure,26,240285
2.1297689999437903,999.220311,0.9992203110000001,0.607335,low_pressure,27,245795
2.1378959999449263,200000.248238,200.000248238,0.626158,high_pressure,27,247558
2.1680749999491447,999.147668,0.999147668,0.607479,low_pressure,28,252822
2.1763099999502957,200000.638147,200.000638147,0.626288,high_pressure,28,254620
2.206202999954474,999.178217,0.999178217,0.607612,low_pressure,29,259855
2.214492999955633,200000.411398,200.00041139799998,0.626414,high_pressure,29,261653
2.2417039999594364,998.692863,0.998692863,0.607744,low_pressure,30,266438
2.25131699996078,200000.041694,200.000041694,0.626526,high_pressure,30,268552
2.2803929999648442,998.936983,0.998936983,0.607875,low_pressure,31,273661
2.2884919999659763,200000.049549,200.00004954899998,0.626639,high_pressure,31,275424
2.317978999970098,999.018065,0.999018065,0.608,low_pressure,32,280589
2.3287869999716087,200000.279259,200.000279259,0.626736,high_pressure,32,282998
2.3565709999754922,998.848965,0.998848965,0.60812,low_pressure,33,287860
2.3664099999768675,200000.290227,200.000290227,0.626837,high_pressure,33,290044
2.39361499998067,998.641097,0.9986410969999999,0.608243,low_pressure,34,294822
2.4017889999818127,200000.128441,200.00012844100002,0.626959,high_pressure,34,296599
2.4304669999858213,998.984947,0.9989849470000001,0.608371,low_pressure,35,301602
2.4385949999869574,200000.206819,200.00020681900003,0.627071,high_pressure,35,303358
2.4698009999913193,999.019216,0.999019216,0.608495,low_pressure,36,308784
2.4779149999924535,200000.054595,200.000054595,0.627177,high_pressure,36,310568
2.5037409999960634,998.527113,0.998527113,0.608612,low_pressure,37,315127
2.5118039999971904,200000.279152,200.000279152,0.627282,high_pressure,37,316890
2.541870000001393,999.111564,0.999111564,0.608723,low_pressure,38,322175
2.54993400000252,200000.012247,200.000012247,0.627386,high_pressure,38,323945
2.5771140000063193,998.823347,0.998823347,0.608825,low_pressure,39,328765
2.585138000007441,200000.343875,200.000343875,0.62748,high_pressure,39,330514
2.6127060000112943,998.816552,0.998816552,0.608925,low_pressure,40,335376
2.622348000012642,200000.51247,200.00051247,0.627575,high_pressure,40,337518
2.6466120000160336,998.564139,0.998564139,0.609018,low_pressure,41,341838
2.6565350000174206,200000.146611,200.000146611,0.62766,high_pressure,41,344043
2.683308000021163,999.131697,0.999131697,0.609115,low_pressure,42,348771
2.6913620000222886,200000.013016,200.00001301600003,0.627741,high_pressure,42,350541
2.718429000026072,998.809928,0.998809928,0.609209,low_pressure,43,355305
2.7285110000274813,200000.023935,200.000023935,0.627819,high_pressure,43,357553
2.7557140000312836,999.198116,0.9991981160000001,0.609298,low_pressure,44,362366
2.7638840000324256,200000.043321,200.000043321,0.627898,high_pressure,44,364157
2.7927450000364598,999.286146,0.999286146,0.609387,low_pressure,45,369223
2.8008650000375948,200000.06224,200.00006224,0.62797,high_pressure,45,371014
2.8297430000416313,999.068302,0.999068302,0.609479,low_pressure,46,376101
2.837861000042766,200000.096572,200.00009657200002,0.62805,high_pressure,46,377885
2.863344000046328,998.606136,0.998606136,0.609567,low_pressure,47,382402
2.871330000047444,200000.08383,200.00008383,0.628125,high_pressure,47,384164
2.898385000051226,998.669896,0.998669896,0.609653,low_pressure,48,388970
2.9064160000523485,200000.158555,200.000158555,0.628207,high_pressure,48,390732
2.9361160000565,999.17594,0.99917594,0.60974,low_pressure,49,395974
2.9439830000575995,200000.136018,200.00013601799998,0.628278,high_pressure,49,397694
2.9706950000613332,999.02919,0.99902919,0.609823,low_pressure,50,402429
2.978662000062447,200000.020808,200.000020808,0.628373,high_pressure,50,404184
3.0065520000663453,999.128342,0.999128342,0.60991,low_pressure,51,409137
3.01438400006744,200000.185847,200.00018584699998,0.628457,high_pressure,51,410850
3.0402200000710513,998.962171,0.9989621710000001,0.609992,low_pressure,52,415444
3.048359000072189,199999.987794,199.999987794,0.628521,high_pressure,52,417242
3.0749830000759104,998.900591,0.998900591,0.610072,low_pressure,53,421984
3.0829590000770253,200000.2655,200.0002655,0.628594,high_pressure,53,423753
3.109649000080756,998.998249,0.998998249,0.610154,low_pressure,54,428516
3.1174860000818514,200000.045187,200.000045187,0.628666,high_pressure,54,430250
3.143037000085423,998.880584,0.998880584,0.610233,low_pressure,55,434816
3.1528850000867994,200000.036604,200.000036604,0.628757,high_pressure,55,437014
3.175775000089999,998.252731,0.998252731,0.61031,low_pressure,56,441129
3.183682000091104,200000.057205,200.000057205,0.628806,high_pressure,56,442870
3.210989000094921,999.157244,0.9991572439999999,0.610387,low_pressure,57,447725
3.220669000096274,200000.723019,200.000723019,0.628886,high_pressure,57,449874
3.2451830000997006,998.732557,0.9987325570000001,0.61046,low_pressure,58,454257
3.253083000100805,200000.028616,200.000028616,0.62895,high_pressure,58,456005
3.2782790001043267,999.089208,0.999089208,0.610532,low_pressure,59,460515
3.287740000105649,200000.108915,200.000108915,0.629021,high_pressure,59,462636
3.3143270001093654,999.202491,0.999202491,0.610609,low_pressure,60,467385
3.3222840001104776,200000.157312,200.000157312,0.629078,high_pressure,60,469133
3.348644000114162,999.148208,0.9991482079999999,0.610685,low_pressure,61,473826
3.3582340001155027,200000.352916,200.000352916,0.629144,high_pressure,61,475982
3.384793000119215,999.10394,0.9991039399999999,0.610764,low_pressure,62,480724
3.392814000120336,200000.160273,200.00016027299998,0.629224,high_pressure,62,482501
3.4217350001243787,999.148315,0.999148315,0.610846,low_pressure,63,487630
3.4311130001256895,200000.43441,200.00043441,0.629307,high_pressure,63,489730
3.4559430001291602,998.733564,0.998733564,0.610921,low_pressure,64,494183
3.463969000130282,200000.237529,200.000237529,0.629377,high_pressure,64,495945
3.4905430001339965,998.972327,0.9989723269999999,0.610993,low_pressure,65,500680
3.499948000135311,200000.27421,200.00027421000001,0.629444,high_pressure,65,502780
3.525465000138878,998.70251,0.99870251,0.611067,low_pressure,66,507346
3.5349050001401974,200000.032193,200.00003219299998,0.629508,high_pressure,66,509467
3.5612180001438754,998.959854,0.998959854,0.61114,low_pressure,67,514167
3.5706630001451956,200000.288115,200.000288115,0.629579,high_pressure,67,516281
3.595635000148686,999.105329,0.9991053289999999,0.611213,low_pressure,68,520748
3.6050620001500038,200000.041322,200.00004132200002,0.629653,high_pressure,68,522862
3.6324410001538308,999.386988,0.9993869879999999,0.611281,low_pressure,69,527738
3.6416830001551226,200000.03477,200.00003476999998,0.629718,high_pressure,69,529810
3.667597000158745,998.740074,0.9987400740000001,0.611354,low_pressure,70,534446
3.676991000160058,200000.333452,200.00033345199998,0.629788,high_pressure,70,536539
3.702653000163645,999.251807,0.9992518069999999,0.611427,low_pressure,71,541133
3.71227700016499,200000.899921,200.000899921,0.629848,high_pressure,71,543268
3.738583000168667,999.247318,0.999247318,0.6115,low_pressure,72,547954
3.746459000169768,200000.205658,200.000205658,0.629921,high_pressure,72,549695
3.772206000173367,999.328674,0.999328674,0.611568,low_pressure,73,554310
3.7801520001744775,200000.38528,200.00038528,0.629976,high_pressure,73,556072
3.808266000178407,998.808684,0.998808684,0.611635,low_pressure,74,561075
3.8161590001795105,200000.050542,200.00005054200003,0.630033,high_pressure,74,562816
3.8423800001831756,998.98124,0.99898124,0.611702,low_pressure,75,567502
3.851819000184495,200000.150313,200.00015031299998,0.630098,high_pressure,75,569616
3.8780350001881594,999.174224,0.999174224,0.611768,low_pressure,76,574309
3.88583800018925,200000.483289,200.000483289,0.630156,high_pressure,76,576036
3.9137480001931513,999.451977,0.9994519770000001,0.611831,low_pressure,77,580996
3.9216840001942606,200000.456923,200.000456923,0.630224,high_pressure,77,582751
3.9481250001979564,999.150387,0.999150387,0.611889,low_pressure,78,587472
3.9575830001992784,200000.244469,200.000244469,0.630278,high_pressure,78,589600
3.9841310002029893,999.295015,0.9992950150000001,0.611949,low_pressure,79,594349
3.9940120002043704,200000.291026,200.00029102599999,0.630341,high_pressure,79,596575
4.022018000208285,999.485899,0.9994858990000001,0.612017,low_pressure,80,601571
4.029840000209378,200000.264041,200.00026404099998,0.630403,high_pressure,80,603312
4.055368000212947,999.161161,0.999161161,0.612083,low_pressure,81,607885
4.064658000214245,200000.708568,200.000708568,0.630464,high_pressure,81,609971
4.094112000218362,999.405357,0.999405357,0.612143,low_pressure,82,615213
4.103559000219683,200000.028127,200.000028127,0.630529,high_pressure,82,617320
4.13080000022349,999.444267,0.999444267,0.612201,low_pressure,83,622168
4.138688000224593,200000.058846,200.000058846,0.630586,high_pressure,83,623923
4.167339000228598,999.182647,0.9991826469999999,0.61226,low_pressure,84,629024
4.176885000229932,200000.205792,200.000205792,0.630627,high_pressure,84,631159
4.20684700023412,999.451838,0.9994518379999999,0.612323,low_pressure,85,636485
4.214636000235209,200000.194926,200.000194926,0.63069,high_pressure,85,638212
4.242033000239038,998.818743,0.9988187430000001,0.612384,low_pressure,86,643123
4.2514280002403515,199988.174206,199.988174206,0.630735,high_pressure,86,645258
4.278867000244187,999.094104,0.999094104,0.612448,low_pressure,87,650204
4.288061000245472,200000.368525,200.000368525,0.6308,high_pressure,87,652276
4.315360000249288,999.141571,0.999141571,0.612507,low_pressure,88,657201
4.324786000250605,200000.06933,200.00006933,0.630854,high_pressure,88,659343
4.351400000254325,999.283262,0.9992832620000001,0.61257,low_pressure,89,664155
4.360709000255627,200000.022012,200.000022012,0.630915,high_pressure,89,666255
4.3859410002591535,999.325926,0.999325926,0.612626,low_pressure,90,670828
4.395183000260445,200000.059475,200.000059475,0.630966,high_pressure,90,672942
4.420856000264034,999.165222,0.999165222,0.612687,low_pressure,91,677634
4.430214000265342,200000.212014,200.000212014,0.631027,high_pressure,91,679748
4.453937000268658,998.819241,0.9988192410000001,0.612743,low_pressure,92,684060
4.461791000269756,200000.048848,200.000048848,0.631062,high_pressure,92,685829
4.487369000273331,999.319698,0.999319698,0.612798,low_pressure,93,690479
4.496840000274655,200000.318335,200.000318335,0.631113,high_pressure,93,692635
4.523044000278317,999.233209,0.999233209,0.612856,low_pressure,94,697377
4.532808000279682,200000.016252,200.000016252,0.631166,high_pressure,94,699603
4.558387000283258,999.542465,0.999542465,0.612912,low_pressure,95,704246
4.567733000284564,200000.338886,200.000338886,0.63122,high_pressure,95,706374
4.593737000288199,999.145676,0.9991456759999999,0.612971,low_pressure,96,711088
4.603284000289533,200000.108551,200.000108551,0.631276,high_pressure,96,713237
4.629845000293246,999.064591,0.999064591,0.61303,low_pressure,97,718028
4.637796000294357,200000.899557,200.000899557,0.631323,high_pressure,97,719825
4.6621440002977605,999.045418,0.999045418,0.613087,low_pressure,98,724264
4.671665000299091,200000.058039,200.000058039,0.631377,high_pressure,98,726469
