particle_id,x,y,radius
1,0.950829128320,0.539264927085,0.049170871680
2,0.728417640803,0.950254361783,0.049745638217
3,0.424852593445,0.603122191306,0.050775281981
4,0.767456945465,0.584024673290,0.047034597665
5,0.950882448249,0.441706173690,0.048186120955
6,0.791147523699,0.767564281637,0.051750398161
7,0.599878981170,0.500374974169,0.047764400350
8,0.956485775448,0.753089427041,0.043514224552
9,0.609272669640,0.594734703393,0.044553403770
10,0.518175786597,0.441564345183,0.052903877118
11,0.584588246436,0.870367210587,0.049907088676
12,0.687249043738,0.535845237089,0.046531237868
13,0.351974135188,0.053146225345,0.053146225345
14,0.094866726744,0.776057450638,0.043389057912
15,0.601289452278,0.693690104411,0.054723497623
16,0.860793516687,0.318671517556,0.054147986033
17,0.387548636641,0.219710575355,0.046579131246
18,0.283463827622,0.870386937343,0.048306654009
19,0.294748535323,0.379635330231,0.045556731597
20,0.230556416019,0.440952418708,0.043214961656
21,0.427108774227,0.128238972890,0.053080582565
22,0.699561626626,0.846301678946,0.046904470472
23,0.049794360059,0.694499917908,0.049794360059
24,0.893523711585,0.616223115925,0.046779498926
25,0.750920385535,0.051083099102,0.051083099102
26,0.386916703278,0.701634343830,0.054788802822
27,0.541181192921,0.786295221455,0.044692270463
28,0.936018686806,0.894295907098,0.048070251261
29,0.522187451494,0.949293154268,0.050706845732
30,0.330354106500,0.510002759364,0.048820999793
31,0.145259122113,0.674833663464,0.047675031890
32,0.052518716369,0.584622702224,0.052518716369
33,0.698843783685,0.727981921359,0.048682383669
34,0.768420300946,0.373842590956,0.053446894548
35,0.490176760172,0.228133895994,0.050089232289
36,0.689841308317,0.632044131321,0.044234539962
37,0.142028389602,0.151065080225,0.045932450743
38,0.773450981086,0.674167928438,0.043307723078
39,0.855447827643,0.056440613566,0.053581551683
40,0.249214203707,0.074488343920,0.051806571394
41,0.343949740746,0.950074445836,0.049925554164
42,0.644031714801,0.053149136024,0.053149136024
43,0.431507531316,0.500601218366,0.051961459738
44,0.147089070365,0.052631316821,0.052631316821
45,0.397092337476,0.863562434912,0.051605050193
46,0.588456431642,0.370078432031,0.047343840324
47,0.184881519646,0.761664816221,0.047769106107
48,0.678149590813,0.226928031926,0.053551019281
49,0.191406020757,0.854343271752,0.045138725835
50,0.048228625356,0.142824177478,0.048228625356
51,0.319141812348,0.613680734345,0.055461491729
52,0.874256610351,0.710252693146,0.049203742232
53,0.044620233726,0.472578548191,0.044620233726
54,0.299442500627,0.265104285447,0.052533330717
55,0.219753350333,0.621058983028,0.044200461568
56,0.250120516352,0.956222418958,0.043777581042
57,0.955061042804,0.260178270164,0.044938957196
58,0.050054182692,0.241090029619,0.050054182692
59,0.861751398049,0.953248910088,0.046751089912
60,0.152858639302,0.397454904006,0.045829848933
61,0.761299757450,0.475828164210,0.048786951574
62,0.153308434002,0.945468583006,0.053629935536
63,0.121785708527,0.516888141288,0.044362070932
64,0.330871633607,0.148453610328,0.044469414831
65,0.491963050729,0.860318092907,0.043261638091
66,0.389491135232,0.316963932824,0.050693623657
67,0.860573371195,0.420240153539,0.044068639301
68,0.629298250079,0.788412333271,0.043450216035
69,0.774770102717,0.181663643429,0.044970535609
70,0.552453148817,0.085473731032,0.043966842047
71,0.582534808087,0.271126535740,0.051785082870
72,0.380959324570,0.414858554096,0.047572080774
73,0.799149310745,0.873582290887,0.054569152642
74,0.475025910109,0.043910701746,0.043910701746
75,0.923228353176,0.129579436663,0.043583781862
76,0.955733637418,0.349381054273,0.044266362582
77,0.632484160739,0.953748544960,0.046251455040
78,0.450102597039,0.780860342318,0.046548337479
79,0.883363139271,0.811484441728,0.050064072412
80,0.700879096436,0.132001681061,0.044058624315
81,0.670832753919,0.428179753006,0.053461030481
82,0.770080634776,0.273461952168,0.046947474577
83,0.332593091483,0.788220309890,0.047427557497
84,0.270646573443,0.709984444329,0.052363332655
85,0.212621996644,0.529755543383,0.047381055653
86,0.070483158213,0.342370527200,0.053266106852
87,0.954227488658,0.045772511342,0.045772511342
88,0.047186951110,0.853068179795,0.047186951110
89,0.518653674257,0.559472130621,0.052684713050
90,0.047300032728,0.047300032728,0.047300032728
91,0.574660575791,0.173164854357,0.046492557281
92,0.678853188808,0.327757547158,0.047280950854
93,0.849440415730,0.526719961205,0.052990996153
94,0.049891271859,0.950108728141,0.049891271859
95,0.869304483413,0.210882613999,0.053976406612
96,0.237410377675,0.179121544136,0.053490327404
97,0.496946337014,0.696818910701,0.049666516899
98,0.216019499523,0.325093609691,0.050219363348
99,0.493500032970,0.333098364972,0.054559265659
100,0.150903090111,0.247594710803,0.051004280648
