frame,particle_id,x,y,radius
0,0,0.095000,0.100002,0.023000
0,1,0.185002,0.100001,0.023000
0,2,0.275002,0.099998,0.023000
0,3,0.365000,0.099998,0.023000
0,4,0.454998,0.100001,0.023000
0,5,0.544998,0.100002,0.023000
0,6,0.634999,0.100000,0.023000
0,7,0.725001,0.099998,0.023000
0,8,0.815002,0.099999,0.023000
0,9,0.905001,0.100001,0.023000
0,10,0.112999,0.200002,0.023000
0,11,0.202998,0.200000,0.023000
0,12,0.292999,0.199998,0.023000
0,13,0.383001,0.199999,0.023000
0,14,0.473002,0.200002,0.023000
0,15,0.563001,0.200002,0.023000
0,16,0.652999,0.199999,0.023000
0,17,0.742998,0.199998,0.023000
0,18,0.832998,0.200000,0.023000
0,19,0.923000,0.200002,0.023000
0,20,0.095002,0.300001,0.023000
0,21,0.185002,0.299999,0.023000
0,22,0.275000,0.299998,0.023000
0,23,0.364998,0.300000,0.023000
0,24,0.454998,0.300002,0.023000
0,25,0.545000,0.300001,0.023000
0,26,0.635002,0.299998,0.023000
0,27,0.725002,0.299998,0.023000
0,28,0.815001,0.300001,0.023000
0,29,0.904999,0.300002,0.023000
0,30,0.112998,0.400001,0.023000
0,31,0.202999,0.399998,0.023000
0,32,0.293001,0.399998,0.023000
0,33,0.383002,0.400001,0.023000
0,34,0.473001,0.400002,0.023000
0,35,0.562999,0.400000,0.023000
0,36,0.652998,0.399998,0.023000
0,37,0.742999,0.399999,0.023000
0,38,0.833001,0.400001,0.023000
0,39,0.923002,0.400002,0.023000
0,40,0.095002,0.500000,0.023000
0,41,0.185000,0.499998,0.023000
0,42,0.274998,0.499999,0.023000
0,43,0.364998,0.500002,0.023000
0,44,0.455000,0.500002,0.023000
0,45,0.545002,0.499999,0.023000
0,46,0.635002,0.499998,0.023000
0,47,0.725000,0.500000,0.023000
0,48,0.814998,0.500002,0.023000
0,49,0.904998,0.500001,0.023000
0,50,0.112999,0.599999,0.023000
0,51,0.203001,0.599998,0.023000
0,52,0.293002,0.600000,0.023000
0,53,0.383001,0.600002,0.023000
0,54,0.472999,0.600001,0.023000
0,55,0.562998,0.599998,0.023000
0,56,0.652999,0.599998,0.023000
0,57,0.743001,0.600001,0.023000
0,58,0.833002,0.600002,0.023000
0,59,0.923001,0.600001,0.023000
0,60,0.094999,0.699998,0.023000
0,61,0.184998,0.699998,0.023000
0,62,0.274998,0.700001,0.023000
0,63,0.365000,0.700002,0.023000
0,64,0.455002,0.700000,0.023000
0,65,0.545002,0.699998,0.023000
0,66,0.635000,0.699999,0.023000
0,67,0.724998,0.700001,0.023000
0,68,0.814998,0.700002,0.023000
0,69,0.905000,0.700000,0.023000
0,70,0.113002,0.799998,0.023000
0,71,0.203002,0.799999,0.023000
0,72,0.293001,0.800002,0.023000
0,73,0.382999,0.800002,0.023000
0,74,0.472998,0.799999,0.023000
0,75,0.562999,0.799998,0.023000
0,76,0.653001,0.800000,0.023000
0,77,0.743002,0.800002,0.023000
0,78,0.833001,0.800001,0.023000
0,79,0.922999,0.799999,0.023000
0,80,0.094998,0.899998,0.023000
0,81,0.184999,0.900000,0.023000
0,82,0.275001,0.900002,0.023000
0,83,0.365002,0.900001,0.023000
0,84,0.455002,0.899998,0.023000
0,85,0.545000,0.899998,0.023000
0,86,0.634998,0.900001,0.023000
0,87,0.724998,0.900002,0.023000
0,88,0.815000,0.900001,0.023000
0,89,0.905002,0.899998,0.023000
1,0,0.095068,0.100477,0.023219
1,1,0.185436,0.100075,0.023219
1,2,0.275403,0.099563,0.023219
1,3,0.365000,0.099692,0.023219
1,4,0.454597,0.100272,0.023219
1,5,0.544564,0.100454,0.023219
1,6,0.634933,0.099971,0.023219
1,7,0.725363,0.099530,0.023219
1,8,0.815460,0.099778,0.023219
1,9,0.905134,0.100351,0.023219
1,10,0.112685,0.200410,0.023219
1,11,0.202526,0.199868,0.023219
1,12,0.292803,0.199520,0.023219
1,13,0.383261,0.199875,0.023219
1,14,0.473479,0.200413,0.023219
1,15,0.563257,0.200346,0.023219
1,16,0.652798,0.199772,0.023219
1,17,0.742525,0.199532,0.023219
1,18,0.832688,0.199977,0.023219
1,19,0.923138,0.200456,0.023219
1,20,0.095461,0.300267,0.023219
1,21,0.185360,0.299686,0.023219
1,22,0.274928,0.299566,0.023219
1,23,0.364562,0.300081,0.023219
1,24,0.454599,0.300478,0.023219
1,25,0.545004,0.300174,0.023219
1,26,0.635406,0.299615,0.023219
1,27,0.725434,0.299620,0.023219
1,28,0.815063,0.300181,0.023219
1,29,0.904634,0.300477,0.023219
1,30,0.112542,0.400074,0.023219
1,31,0.202870,0.399563,0.023219
1,32,0.293318,0.399692,0.023219
1,33,0.383474,0.400273,0.023219
1,34,0.473193,0.400454,0.023219
