frame,phase,particle_id,x,y,radius,left,right,bottom,top,stress_kpa,friction
0,nominal,0,0.942495,0.056719,0.051000,0.000000,1.000000,0.000000,1.000000,0.000000,0.60
0,nominal,1,0.550194,0.297313,0.051000,0.000000,1.000000,0.000000,1.000000,0.000000,0.60
0,nominal,2,0.346664,0.639232,0.051000,0.000000,1.000000,0.000000,1.000000,0.000000,0.60
0,nominal,3,0.948336,0.365245,0.051000,0.000000,1.000000,0.000000,1.000000,0.000000,0.60
0,nominal,4,0.414456,0.948778,0.051000,0.000000,1.000000,0.000000,1.000000,0.000000,0.60
0,nominal,5,0.853101,0.510556,0.051000,0.000000,1.000000,0.000000,1.000000,0.000000,0.60
0,nominal,6,0.308992,0.948372,0.051000,0.000000,1.000000,0.000000,1.000000,0.000000,0.60
0,nominal,7,0.655006,0.118240,0.051000,0.000000,1.000000,0.000000,1.000000,0.000000,0.60
0,nominal,8,0.207009,0.948373,0.051000,0.000000,1.000000,0.000000,1.000000,0.000000,0.60
0,nominal,9,0.739028,0.774100,0.051000,0.000000,1.000000,0.000000,1.000000,0.000000,0.60
0,nominal,10,0.651460,0.480864,0.051000,0.000000,1.000000,0.000000,1.000000,0.000000,0.60
0,nominal,11,0.684346,0.582072,0.051000,0.000000,1.000000,0.000000,1.000000,0.000000,0.60
0,nominal,12,0.815521,0.607653,0.051000,0.000000,1.000000,0.000000,1.000000,0.000000,0.60
0,nominal,13,0.836265,0.050997,0.051000,0.000000,1.000000,0.000000,1.000000,0.000000,0.60
0,nominal,14,0.307493,0.733691,0.051000,0.000000,1.000000,0.000000,1.000000,0.000000,0.60
0,nominal,15,0.367133,0.539264,0.051000,0.000000,1.000000,0.000000,1.000000,0.000000,0.60
0,nominal,16,0.853505,0.326414,0.051000,0.000000,1.000000,0.000000,1.000000,0.000000,0.60
0,nominal,17,0.214480,0.775716,0.051000,0.000000,1.000000,0.000000,1.000000,0.000000,0.60
0,nominal,18,0.751262,0.505136,0.051000,0.000000,1.000000,0.000000,1.000000,0.000000,0.60
0,nominal,19,0.112824,0.352775,0.051000,0.000000,1.000000,0.000000,1.000000,0.000000,0.60
