frame,particle_id,x,y,radius,active
0,0,0.329780,0.989782,0.034040,1
0,1,0.455800,1.015000,0.035520,0
0,2,0.581600,1.040000,0.037000,0
0,3,0.364000,0.990000,0.038480,0
0,4,0.489800,1.015000,0.034040,0
0,5,0.615600,1.040000,0.035520,0
0,6,0.398000,0.990000,0.037000,0
0,7,0.523800,1.015000,0.038480,0
0,8,0.649600,1.040000,0.034040,0
0,9,0.432000,0.990000,0.035520,0
0,10,0.557800,1.015000,0.037000,0
0,11,0.340200,1.040000,0.038480,0
0,12,0.466000,0.990000,0.034040,0
0,13,0.591800,1.015000,0.035520,0
0,14,0.374200,1.040000,0.037000,0
0,15,0.500000,0.990000,0.038480,0
0,16,0.625800,1.015000,0.034040,0
0,17,0.408200,1.040000,0.035520,0
0,18,0.534000,0.990000,0.037000,0
0,19,0.659800,1.015000,0.038480,0
0,20,0.442200,1.040000,0.034040,0
0,21,0.568000,0.990000,0.035520,0
0,22,0.350400,1.015000,0.037000,0
0,23,0.476200,1.040000,0.038480,0
0,24,0.602000,0.990000,0.034040,0
0,25,0.384400,1.015000,0.035520,0
0,26,0.510200,1.040000,0.037000,0
0,27,0.636000,0.990000,0.038480,0
0,28,0.418400,1.015000,0.034040,0
0,29,0.544200,1.040000,0.035520,0
0,30,0.670000,0.990000,0.037000,0
0,31,0.452400,1.015000,0.038480,0
0,32,0.578200,1.040000,0.034040,0
0,33,0.360600,0.990000,0.035520,0
0,34,0.486400,1.015000,0.037000,0
0,35,0.612200,1.040000,0.038480,0
0,36,0.394600,0.990000,0.034040,0
0,37,0.520400,1.015000,0.035520,0
0,38,0.646200,1.040000,0.037000,0
0,39,0.428600,0.990000,0.038480,0
0,40,0.554400,1.015000,0.034040,0
0,41,0.336800,1.040000,0.035520,0
0,42,0.462600,0.990000,0.037000,0
0,43,0.588400,1.015000,0.038480,0
0,44,0.370800,1.040000,0.034040,0
0,45,0.496600,0.990000,0.035520,0
0,46,0.622400,1.015000,0.037000,0
0,47,0.404800,1.040000,0.038480,0
0,48,0.530600,0.990000,0.034040,0
0,49,0.656400,1.015000,0.035520,0
0,50,0.438800,1.040000,0.037000,0
0,51,0.564600,0.990000,0.038480,0
0,52,0.347000,1.015000,0.034040,0
0,53,0.472800,1.040000,0.035520,0
0,54,0.598600,0.990000,0.037000,0
0,55,0.381000,1.015000,0.038480,0
0,56,0.506800,1.040000,0.034040,0
0,57,0.632600,0.990000,0.035520,0
0,58,0.415000,1.015000,0.037000,0
0,59,0.540800,1.040000,0.038480,0
0,60,0.666600,0.990000,0.034040,0
0,61,0.449000,1.015000,0.035520,0
0,62,0.574800,1.040000,0.037000,0
0,63,0.357200,0.990000,0.038480,0
0,64,0.483000,1.015000,0.034040,0
0,65,0.608800,1.040000,0.035520,0
0,66,0.391200,0.990000,0.037000,0
0,67,0.517000,1.015000,0.038480,0
0,68,0.642800,1.040000,0.034040,0
0,69,0.425200,0.990000,0.035520,0
0,70,0.551000,1.015000,0.037000,0
0,71,0.333400,1.040000,0.038480,0
0,72,0.459200,0.990000,0.034040,0
0,73,0.585000,1.015000,0.035520,0
0,74,0.367400,1.040000,0.037000,0
0,75,0.493200,0.990000,0.038480,0
0,76,0.619000,1.015000,0.034040,0
0,77,0.401400,1.040000,0.035520,0
0,78,0.527200,0.990000,0.037000,0
0,79,0.653000,1.015000,0.038480,0
0,80,0.435400,1.040000,0.034040,0
0,81,0.561200,0.990000,0.035520,0
0,82,0.343600,1.015000,0.037000,0
0,83,0.469400,1.040000,0.038480,0
0,84,0.595200,0.990000,0.034040,0
0,85,0.377600,1.015000,0.035520,0
0,86,0.503400,1.040000,0.037000,0
